word,isCorrect
accommodate,true
acommodate,false
achieve,true
acheive,false
definitely,true
definately,false
embarrass,true
embarass,false
fluorescent,true
flourescent,false
guarantee,true
garantee,false
harass,true
harrass,false
independent,true
independant,false
judgment,true
judgement,false
liaison,true
liason,false
memento,true
momento,false
necessary,true
neccessary,false
occurrence,true
occurence,false
perseverance,true
perseverence,false
privilege,true
privelege,false
publicly,true
publically,false
receive,true
recieve,false
recommend,true
recomend,false
separate,true
seperate,false
supersede,true
supercede,false
weird,true
wierd,false
