word,isCorrect,class,level
abandon,true,verb,b2
abadnon,false,verb,b2
abolish,true,verb,c1
abollish,false,verb,c1
abortion,true,noun,c1
aborsion,false,noun,c1
absence,true,noun,c1
absance,false,noun,c1
absolute,true,adjective,b2
absollute,false,adjective,b2
absolutely,true,adverb,b1
absollutely,false,adverb,b1
abstract,true,adjective,b2
abstarct,false,adjective,b2
absurd,true,adjective,c1
abscurd,false,adjective,c1
abundance,true,noun,c1
abundence,false,noun,c1
abuse,true,noun,c1
abusse,false,noun,c1
academic,true,adjective,b1
academmic,false,adjective,b1
academy,true,noun,c1
academmy,false,noun,c1
accelerate,true,verb,c1
acelerate,false,verb,c1
accent,true,noun,b2
acent,false,noun,b2
acceptable,true,adjective,b2
acceptible,false,adjective,b2
acceptance,true,noun,c1
acceptence,false,noun,c1
accessible,true,adjective,c1
accessable,false,adjective,c1
accidentally,true,adverb,b2
accidently,false,adverb,b2
accommodate,true,verb,b2
acommodate,false,verb,b2
accommodation,true,noun,b1
accommodasion,false,noun,b1
accompany,true,verb,b2
acompany,false,verb,b2
accomplish,true,verb,b2
acomplish,false,verb,b2
accomplishment,true,noun,c1
acomplishment,false,noun,c1
accordance,true,noun,c1
accordence,false,noun,c1
accordingly,true,adverb,c1
acordingly,false,adverb,c1
account,true,noun,b1
accoant,false,noun,b1
accountability,true,noun,c1
accoantability,false,noun,c1
accountable,true,adjective,c1
accountible,false,adjective,c1
accountant,true,noun,b2
accoantant,false,noun,b2
accounting,true,noun,
accoanting,false,noun,
accumulate,true,verb,c1
acumulate,false,verb,c1
accurate,true,adjective,b2
acurate,false,adjective,b2
accuse,true,verb,b2
acuse,false,verb,b2
achievement,true,noun,b1
acheivement,false,noun,b1
acknowledge,true,verb,b2
acknowledg,false,verb,b2
acquire,true,verb,b2
aquire,false,verb,b2
acquisition,true,noun,c1
acquisision,false,noun,c1
activate,true,verb,b2
activatte,false,verb,b2
activation,true,noun,c1
activasion,false,noun,c1
activist,true,noun,c1
actiivst,false,noun,c1
actual,true,adjective,b2
actaul,false,adjective,b2
adapt,true,verb,b2
adapp,false,verb,b2
addiction,true,noun,b2
adiction,false,noun,b2
address,true,verb,b2
addres,false,verb,b2
adequate,true,adjective,b2
adequatte,false,adjective,b2
adhere,true,verb,c1
adherre,false,verb,c1
adjacent,true,adjective,c1
adjecant,false,adjective,c1
administration,true,noun,b2
administrasion,false,noun,b2
administrative,true,adjective,c1
adminnistrative,false,adjective,c1
administrator,true,noun,c1
adminnistrator,false,noun,c1
admire,true,verb,b1
admile,false,verb,b1
admission,true,noun,c1
admistion,false,noun,c1
admit,true,verb,b1
addmit,false,verb,b1
adolescent,true,noun,c1
adollescent,false,noun,c1
adolessent,false,noun,c1
adoption,true,noun,c1
adopsion,false,noun,c1
advance,true,adjective,b2
advence,false,adjective,b2
advanced,true,adjective,b1
advenced,false,adjective,b1
adverse,true,adjective,c1
advers,false,adjective,c1
advocate,true,noun,c1
advocatte,false,noun,c1
aesthetic,true,adjective,c1
aesthettic,false,adjective,c1
affair,true,noun,b2
afair,false,noun,b2
affection,true,noun,c1
affecsion,false,noun,c1
afford,true,verb,b1
aford,false,verb,b1
aftermath,true,noun,c1
aftermat,false,noun,c1
agency,true,noun,b2
agensy,false,noun,b2
aggression,true,noun,c1
aggrestion,false,noun,c1
agression,false,noun,c1
aggressive,true,adjective,b2
aggresive,false,adjective,b2
agreement,true,noun,b1
agreament,false,noun,b1
agriment,false,noun,b1
agriculture,true,noun,b2
acriculture,false,noun,b2
ahead,true,adverb,b1
aheed,false,adverb,b1
albeit,true,conjunction,c1
albiet,false,conjunction,c1
album,true,noun,b1
allbum,false,noun,b1
alcohol,true,noun,b1
alkohol,false,noun,b1
alert,true,adjective,c1
allert,false,adjective,c1
alien,true,adjective,c1
alein,false,adjective,c1
align,true,verb,c1
allign,false,verb,c1
alliance,true,noun,c1
allience,false,noun,c1
allocate,true,verb,c1
alocate,false,verb,c1
allowance,true,noun,c1
allowence,false,noun,c1
ally,true,noun,c1
alongside,true,preposition,b2
alongsite,false,preposition,b2
aluminium,true,noun,c1
alumminium,false,noun,c1
amateur,true,adjective,c1
amature,false,adjective,c1
amazed,true,adjective,b1
ammazed,false,adjective,b1
ambassador,true,noun,c1
ambasador,false,noun,c1
ambition,true,noun,b1
ambision,false,noun,b1
amend,true,verb,c1
ammend,false,verb,c1
amendment,true,noun,c1
ammendment,false,noun,c1
amid,true,preposition,c1
ammid,false,preposition,c1
amount,true,verb,b2
amoant,false,verb,b2
amusing,true,adjective,b2
ammusing,false,adjective,b2
analogy,true,noun,c1
