คำ,ถูกต้อง
กระเพาะ,true
กะเพาะ,false
กะทัดรัด,true
กระทัดรัด,false
กะเพรา,true
กระเพรา,false
เกล็ดปลา,true
เกร็ดปลา,false
ไข่มุก,true
ไข่มุข,false
ไข่มุกข์, false
ครุฑ,true
ครุธ,false
ครุท,false
คะนอง,true
คนอง,false
คะนึง,true
คนึง,false
เค้ก,true
เค๊ก,false
จาระไน,true
จารไน,false
ศึกษานิเทศก์,true
ศึกษานิเทศ,false
โน้ต,true
โน๊ต,false
ปล้นสะดม,true
ปล้นสดมภ์,false
ปิกนิก,true
ปิคนิค,false
ผลัดเปลี่ยน,true
ผัดเปลี่ยน,false
ผลัดเวร,true
ผัดเวร,false
ผัดไทย,true
ผัดไท,false
ผลัดวันประกันพรุ่ง,true
ผัดวันประกันพรุ่ง,false
ผัดเวลา,true
ผลัดเวลา,false
ฝีดาษ,true
ฝีดาต,false
ฝีดาด,false
พิศมัย,false
พิสมัย,true
พุทธชาด,true
พุทธชาต,false
พุทธชาติ,false
พู่กัน,true
ภู่กัน,false
เภทภัย,true
เพทภัย,false
มงกุฎ,true
มงกุฏ,false
ม่าเหมี่ยว,true
มะเหมี่ยว,false
รังสฤษฏ์,true
รังสฤษดิ์,false
ลายเซ็น,true
ลายเซนต์,false
ลายเซ็นต์,false
ลำไส้,true
ลำใส้,false
เลือกสรร,true
เลือกสรรค์,false
โล่,true
โล่ห์,false
วิ่งผลัด,true
วิ่งผัด,false
เวนคืน,true
เวรคืน,false
ศิลปะ,true
ศิลป,false
โศกเศร้า,true
โศรกเศร้า,false
สกัด,true
สะกัด,false
สนุกเกอร์,true
สนุ๊กเกอร์,false
สบง,true
สะบง,false
สะอาด,true
สอาด,false
สักการบูชา,true
สักการะบูชา,false
สังเกต,true
สังเกตุ,false
สังวาล,true
สังวาลย์,false
สันตะปาปา,true
สันตปาปา,false
สับปะรด,true
สัปปะรด,false
สัมมนา,true
สัมนา,false
สำมนา,false
สาบสูญ,true
สาปสูญ,false
สำปะหลัง,true
สัมปะหลัง,false
สำอาง,true
สำอางค์,false
หมาใน,true
หมาไน,false
หยากไย่,true
หยากใย่,false
หลับใหล,true
หลับไหล,false
อหังการ,true
อะหังการ,false
ออกซิเจน,true
อ๊อกซิเจน,false
อานิสงส์,true
อานิสงฆ์,false
นะคะ,true
นะค่ะ,false
อนุญาต,true
อนุญาติ,false
ศีรษะ,true
ศรีษะ,false
ปรากฏ,true
ปรากฎ,false
กฎหมาย,true
กฏหมาย,false
กะเทย,true
กระเทย,false
ผูกพัน,true
ผูกพันธ์,false
โอกาส,true
โอกาศ,false
รสชาติ,true
รสชาด,false
ซีรีส์,true
ซีรีย์,false
อินเทอร์เน็ต,true
อินเตอร์เน็ต,false
อัญชัน,true
อัญชัญ,false
มุกตลก,true
มุขตลก,false
งอน,true
งอล,false
เท่,true
เท่ห์,false
กะพริบ,true
กระพริบ,false
เว็บไซต์,true
เว็ปไซต์,false
อัปเดต,true
อัพเดท,false
แอปพลิเคชัน,true
แอพพลิเคชั่น,false
สแกน,true
แสกน,false
สะแกน,false
ขโมย,true
โขมย,false
ขะโมย,false
กะโหลก,true
กระโหลก,false
กาลเทศะ,true
กาละเทศะ,false
กรีฑา,true
กรีทา,false
เกม,true
เกมส์,false
แกงกะหรี่,true
แกงกระหรี่,false
พะแนง,true
แพนง,false
พแนง,false
มัสมั่น,true
มัสหมั่น,false
กงสุล,true
กงศุล,false
ขะมักเขม้น,true
ขมักเขม้น,false
ขะมักขะเม้น,false
ขะมักขเม้น,false
ขมักขเม้น,false
คลินิก,true
คลีนิก,false
คฤหาสน์,true
คฤหาสถ์,false
คำนวณ,true
คำนวน,false
