word,isCorrect,definition
กระเพาะ,true,"(๑) น. อวัยวะภายในของคนและสัตว์ ลักษณะคล้ายถุง ได้แก่ กระเพาะอาหารและกระเพาะปัสสาวะ. (เทียบ ข. กฺรพะ) (๒) น. ภาชนะสานสำหรับตวงข้าว มีอัตราจุ ๔ กระผีก."
กะเพาะ,false,
กะทัดรัด,true,"ว. สมทรง, สมส่วน, เหมาะเจาะ."
กระทัดรัด,false,
กะเพรา,true,"[-เพฺรา] น. ชื่อไม้ล้มลุกชนิด Ocimum tenuiflorum L. ในวงศ์ Labiatae กลิ่นฉุน ใช้ปรุงอาหาร พันธุ์ที่กิ่งและก้านใบสีเขียวอมแดงเรียก กะเพราแดง ใช้ทำยาได้."
กระเพรา,false,
เกล็ดปลา,true,
เกร็ดปลา,false,
ไข่มุก,true,"น. วัตถุมีค่า มักมีลักษณะกลม ๆ เกิดจากหอยบางชนิด ที่รู้จักกันทั่วไปมีสีขาว ที่เป็นสีขาวอมชมพูหรือสีดำก็มี ใช้ทำเป็นเครื่องประดับ."
ไข่มุข,false,
ไข่มุกข์,false,
ครุฑ,true,"[คฺรุด] น. พญานกในเทพนิยาย เป็นพาหนะของพระนารายณ์, ใช้เป็นตราแผ่นดินและเครื่องหมายทางราชการ. (ส.; ป. ครุฬ). ลูกคำของ """"ครุฑ"""" คือ ครุฑพาห ครุฑพ่าห์ ๑ ครุฑพ่าห์ ๒"
ครุธ,false,
ครุท,false,
คะนอง,true,"(๑) ก. แสดงอาการร่าเริง, คึก, ลำพอง (๒) ก. พูดหรือทำเกินขอบเขต เช่น คะนองปาก คะนองมือ (๓) ก. เรียกอาการของฟ้าที่มีเสียงลั่นเปรี้ยง ๆ ว่า ฟ้าคะนอง."
คนอง,false,
คะนึง,true,"ก. คิดทบทวน, นึกตรอง, คำนึง ก็ว่า."
คนึง,false,
เค้ก,true,"น. ขนมฝรั่งชนิดหนึ่ง ทำด้วยแป้งสาลีผสมไข่ เนย นํ้าตาล เป็นต้น แล้วผิงหรืออบให้สุก. (อ. cake)."
เค๊ก,false,
จาระไน,true,"ก. พูดชี้แจงอย่างละเอียดลออหรือถี่ถ้วน."
จารไน,false,
ศึกษานิเทศก์,true,"น. ผู้ชี้แจงแนะนำทางการศึกษาแก่ครูอาจารย์ในโรงเรียนหรือวิทยาลัย. แม่คำของ """"ศึกษานิเทศก์"""" คือ ศึกษา"
ศึกษานิเทศ,false,
โน้ต,true,"น. เครื่องหมายกำหนดเสียงดนตรี. (อ. note)."
โน๊ต,false,
ปล้นสะดม,true,"(โบ) ก. ปล้นโดยใช้วิธีรมยาให้เจ้าของทรัพย์หลับสนิทไม่รู้สึกตัว. แม่คำของ """"ปล้นสะดม"""" คือ ปล้น"
ปล้นสดมภ์,false,
ปิกนิก,true,"น. การพากันไปเที่ยวชั่วระยะเวลาสั้น ๆ และมีของกินไปเลี้ยงกันด้วย. (อ. picnic)."
ปิคนิค,false,
ผลัดเปลี่ยน,true,"ก. ผลัดกันประจำหน้าที่ เช่น ผลัดเปลี่ยนเวรยาม. แม่คำของ """"ผลัดเปลี่ยน"""" คือ ผลัด"
ผัดเปลี่ยน,false,
ผลัดเวร,true,
ผัดเวร,false,
ผัดไทย,true,"น. อาหารคาวอย่างหนึ่ง ใช้ก๋วยเตี๋ยวเส้นเล็กผัดกับเครื่องปรุงมีน้ำมะขามเปียก เต้าหู้เหลือง หัวไช้โป๊ กุ้งแห้งหรือกุ้งสด ใบกุยช่าย ถั่วงอก เป็นต้น. แม่คำของ """"ผัดไทย"""" คือ ผัด"
ผัดไท,false,
ผลัดวันประกันพรุ่ง,true,
ผัดวันประกันพรุ่ง,false,
ผัดเวลา,true,
