word,class,level,definition,synonyms
a,indefinite article,a1,used before countable or singular nouns referring to people or things that have not already been mentioned,[]
abandon,verb,b2,"to leave somebody, especially somebody you are responsible for, with no intention of returning",[]
ability,noun,a2,the fact that somebody/something is able to do something,[]
able,adjective,a2,"having the skill, intelligence, opportunity, etc. needed to do something",[]
abolish,verb,c1,"to officially end a law, a system or an institution",[]
abortion,noun,c1,the deliberate ending of a pregnancy at an early stage,[]
about,adverb,a1,a little more or less than; a little before or after,[]
above,adverb,a1,at or to a higher place,[]
abroad,adverb,a2,in or to a foreign country,[]
absence,noun,c1,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,[]
absent,adjective,c1,"not in a place because of illness, etc.",[]
absolute,adjective,b2,total and complete,[]
absolutely,adverb,b1,used to emphasize that something is completely true,[]
absorb,verb,b2,"to take in a liquid, gas or other substance from the surface or space around",[]
abstract,adjective,b2,"based on general ideas and not on any particular real person, thing or situation",[]
absurd,adjective,c1,extremely silly; not logical and sensible,[]
abundance,noun,c1,a large quantity that is more than enough,[]
abuse,noun,c1,the use of something in a way that is wrong or harmful,[]
abuse,verb,c1,"to make bad use of something, or to use so much of something that it harms your health",[]
academic,adjective,b1,"connected with education, especially studying in schools and universities",[]
academic,noun,b2,a person who teaches and/or does research at a university or college,[]
academy,noun,c1,a school or college for special training,[]
accelerate,verb,c1,to happen faster or earlier; to make something happen faster or earlier,[]
accent,noun,b2,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",[]
accept,verb,a2,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.","[""approve"",""go along with somebody/​something"",""consent""]"
acceptable,adjective,b2,agreed or approved of by most people in a society,[]
acceptance,noun,c1,"the act of accepting a gift, an invitation, an offer, etc.",[]
access,noun,b1,the opportunity or right to use something or to see somebody/something,[]
access,verb,b1,to open a computer file or use a computer system,[]
accessible,adjective,c1,"that can be reached, entered, used, seen, etc.",[]
accident,noun,a2,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage","[""chance"",""coincidence"",""fate"",""destiny""]"
accidentally,adverb,b2,by chance; in a way that was not planned,[]
accommodate,verb,b2,"to provide somebody with a room or place to sleep, live or sit",[]
accommodation,noun,b1,"a place to live, work or stay in",[]
accompany,verb,b2,to travel or go somewhere with somebody/something,[]
accomplish,verb,b2,to succeed in doing or completing something,[]
accomplishment,noun,c1,an impressive thing that is done or achieved after a lot of work,[]
accordance,noun,c1,according to a rule or the way that somebody says that something should be done,[]
accordingly,adverb,c1,in a way that is appropriate to what has been done or said in a particular situation,[]
account,noun,b1,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.","[""story"",""version""]"
account,verb,b2,to have the opinion that somebody/something is a particular thing,[]
accountability,noun,c1,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,[]
accountable,adjective,c1,responsible for your decisions or actions and expected to explain them when you are asked,[]
accountant,noun,b2,a person whose job is to keep or check financial accounts,[]
accounting,noun,,the process or work of keeping financial accounts,[]
accumulate,verb,c1,to gradually get more and more of something over a period of time,"[""gather"",""amass""]"
